id,url,created_date,critic_score,audience_score,runtime,MPAA_rating,studio,theater_release_date,DVD_release_date,list_of_genres,abridged_list_of_cast,abridged_list_of_directors
f8a41ec7-49d1-4c20-ac36-83f27ce52061,https://www.rottentomatoes.com/m/joel_kim_booster_psychosexual,2022-06-21 17:21:17.545468,,,,,,,"Jun 21, 2022","Comedy, Stand-up","Joel Kim Booster, Doron Max Hagay, Joel Kim Booster, Tony Hernandez, Seamus Murphy-Mitchell, Brooke Posch",Doron Max Hagay
dd3acb5b-8ab9-45de-9751-591f5d7c9e41,https://www.rottentomatoes.com/m/harmonious_live,2022-06-21 17:21:17.565376,,,,,,,"Jun 21, 2022","Music, Variety","Idina Menzel, Auli'i Cravalho",
13815b4f-efdc-49bb-887f-7b42c2aa6a9c,https://www.rottentomatoes.com/m/triple_threat_2022,2022-06-21 17:21:17.588743,,,1h 39m,,Gravitas Ventures,"Jun 21, 2022 limited","Jun 21, 2022","Comedy, Drama, Lgbtq+","Stacey Maltin, Jay DeYonker, Margarita Zhitnikova, Aury Krebs, Aramie Payton, Mark St. Cyr",Stacey Maltin
a718fa35-debc-407d-bb22-270aac4ca1f8,https://www.rottentomatoes.com/m/happening,2022-06-21 17:21:17.636269,99%,86%,1h 40m,R (Sexual Content|Graphic Nudity|Disturbing Material/Images),IFC Films,"May 6, 2022 limited","Jun 21, 2022",Drama,"Anamaria Vartolomei, Sandrine Bonnaire, Kacey Mottet Klein, Luàna Bajrami, Louise Orry-Diquéro, Louise Chevillotte",Audrey Diwan
f7f05e3f-3019-48ae-a377-dc62d438c6ef,https://www.rottentomatoes.com/m/the_house_in_between_part_2,2022-06-21 17:21:17.669263,,,,,,,"Jun 21, 2022","Documentary, Horror","Alice Jackson, Steve Gonsalves, Steve Gonsalves, Kendall Whelpton","Steve Gonsalves , Kendall Whelpton"
a886420a-064a-4fda-b1a9-f01c3a73ae4e,https://www.rottentomatoes.com/m/crazy_cat_lady,2022-06-21 17:21:17.725563,,,1h 41m,,,,"Jun 21, 2022",Documentary,"Garrett Clancy, Garrett Clancy, Garrett Clancy, Amanda Marie Harrison, Tricia Helfer, Garrett Clancy",Garrett Clancy
d338715c-d07a-4f07-bd26-fc9808e71602,https://www.rottentomatoes.com/m/free_guy,2022-06-21 17:21:17.972866,80%,94%,1h 55m,PG-13 (Language|Crude/Suggestive References|Strong Fantasy Violence),,"Aug 13, 2021 wide","Sep 27, 2021","Action, Adventure, Comedy","Ryan Reynolds, Jodie Comer, Joe Keery, Lil Rel Howery, Utkarsh Ambudkar, Taika Waititi",Shawn Levy
4c7f7ccb-e9ec-4e51-a55d-c99ce6a7e980,https://www.rottentomatoes.com/m/last_night_in_soho,2022-06-21 17:21:18.227426,76%,90%,1h 57m,R (Brief Drug Material|Bloody Violence|Brief Graphic Nudity|Language|Sexual Content),Focus Features,"Oct 29, 2021 wide","Nov 18, 2021",Drama,"Anya Taylor-Joy, Thomasin McKenzie, Matt Smith, Terence Stamp, Diana Rigg, Rita Tushingham",Edgar Wright
492f09f8-0ac9-43eb-9a92-b98eed0381d1,https://www.rottentomatoes.com/m/spree_2020,2022-06-21 17:21:18.247789,68%,59%,1h 32m,,RLJE Films,"Aug 14, 2020 limited","Aug 14, 2020",Comedy,"Joe Keery, Sasheer Zamata, David Arquette, Kyle Mooney, Mischa Barton, Frankie Grande",Eugene Kotlyarenko
1d494939-6eed-4d3e-95eb-818fc806977f,https://www.rottentomatoes.com/m/fresh_2022,2022-06-21 17:21:18.280161,81%,80%,1h 54m,R,,,"Mar 4, 2022","Horror, Comedy, Drama, Mystery & thriller","Daisy Edgar-Jones, Sebastian Stan, Jonica T. Gibbs, Andrea Bang, Dayo Okeniyi, Charlotte Le Bon",Mimi Cave
