id,created_date,year,category,name of actor,name of film
32858cc8-143c-4b05-900e-5af5d3b1db0e,2022-06-21 15:14:26.106972,1930,Art Direction,Dynamite,Mitchell Leisen
a41c065c-4192-4a6e-b480-811ce8acad8c,2022-06-21 15:14:26.107461,1930,Art Direction,Alibi,William Cameron Menzies
a5fb3559-dbeb-495b-a07d-b54accb8bf75,2022-06-21 15:14:26.107942,1930,Art Direction,The Awakening,William Cameron Menzies
b2d6c57f-4d63-41a5-913d-b0f3d767b5cc,2022-06-21 15:14:26.108419,1930,Art Direction,Street Angel,Harry Oliver
f143a089-1668-40c3-a12c-7bd6e55d4868,2022-06-21 15:14:26.109339,1930,Cinematography,White Shadows in the South Seas,Clyde De Vinna
719430b5-39ed-4f4a-bba0-aae4f9b17954,2022-06-21 15:14:26.109832,1930,Cinematography,Our Dancing Daughters,George Barnes
78c60508-2094-4f07-97a9-a863898b9bd6,2022-06-21 15:14:26.110359,1930,Cinematography,In Old Arizona,Arthur Edeson
6d07318f-c498-432f-8acd-4dbcc3410664,2022-06-21 15:14:26.110845,1930,Cinematography,Four Devils,Ernest Palmer
f43b3616-4162-469b-b331-a3a2f6f87a9d,2022-06-21 15:14:26.111311,1930,Cinematography,Street Angel,Ernest Palmer
627df08f-d5e9-4932-93d8-89ab486ca9f4,2022-06-21 15:14:26.111791,1930,Cinematography,The Divine Lady,John Seitz
4646ebb2-d1d5-42c7-988f-1244a800b990,2022-06-21 15:14:26.112757,1930,Directing,The Divine Lady,Frank Lloyd
336ffd08-9983-4a51-93dc-4cb846c4f8f2,2022-06-21 15:14:26.113299,1930,Directing,Madame X,Lionel Barrymore
f1e9cb40-eb85-4063-af1e-66c9dca2b2bb,2022-06-21 15:14:26.113800,1930,Directing,The Broadway Melody,Harry Beaumont
9be8d3f2-e9d4-4ffd-9ec9-23fdbd88413e,2022-06-21 15:14:26.114286,1930,Directing,In Old Arizona,Irving Cummings
79813e5b-1738-45f0-9368-45bf64d7dcc4,2022-06-21 15:14:26.114775,1930,Directing,Drag,Frank Lloyd
c2509bbf-3df4-4f6b-a992-975c1c7ffed9,2022-06-21 15:14:26.115276,1930,Directing,Weary River,Frank Lloyd
9dc13b87-979d-4d1c-9c3c-88765beff046,2022-06-21 15:14:26.115769,1930,Directing,The Patriot,Ernst Lubitsch
3a5871d2-ff05-4057-80e7-89f14f81ca3e,2022-06-21 15:14:26.116719,1930,Outstanding Picture,The Broadway Melody,Metro-Goldwyn-Mayer
40bc9a7f-4a3c-47c6-a506-f9f002433cab,2022-06-21 15:14:26.117374,1930,Outstanding Picture,Alibi,Feature Productions
db426210-dc76-47c5-9917-82ee917118f4,2022-06-21 15:14:26.118202,1930,Outstanding Picture,In Old Arizona,Fox
a5de5cf8-5c78-43b0-8abe-786c054917b8,2022-06-21 15:14:26.118826,1930,Outstanding Picture,Hollywood Revue,Metro-Goldwyn-Mayer
e32d4973-d638-4c0e-9f76-5c329e7939fb,2022-06-21 15:14:26.119570,1930,Outstanding Picture,The Patriot,Paramount Famous Lasky
53e1d39c-6c2d-4aaf-b2cb-03815c8df969,2022-06-21 15:14:26.120776,1930,Writing,The Patriot,Hans Kraly
f4fff77e-2a75-44dd-a1d1-a1d7b5159991,2022-06-21 15:14:26.121998,1930,Writing,The Valiant,Tom Barry
4829202e-ce69-4a0a-8e55-0676956fd539,2022-06-21 15:14:26.122817,1930,Writing,In Old Arizona,Tom Barry
4613c9f4-eab0-4a1c-989e-1a458e245f5e,2022-06-21 15:14:26.123523,1930,Writing,The Leatherneck,Elliott Clawson
300c8c1d-ec50-45e1-ad5d-0f14782ef558,2022-06-21 15:14:26.124287,1930,Writing,Sal of Singapore,Elliott Clawson
6ee68b6f-a0be-4319-9ead-ce070e8a0f02,2022-06-21 15:14:26.125012,1930,Writing,Skyscraper,Elliott Clawson
348df8fd-2917-4e6e-9a37-9f6c347693ff,2022-06-21 15:14:26.125691,1930,Writing,The Cop,Elliott Clawson
30527971-3241-445f-9507-32051909c10c,2022-06-21 15:14:26.126513,1930,Writing,The Last of Mrs. Cheyney,Hans Kraly
8c996c85-9f21-425f-a82a-b4ccfba7c407,2022-06-21 15:14:26.128856,1930,Writing,Our Dancing Daughters,Josephine Lovett
9a30e352-2d34-4dfa-bd0b-2c706964ec62,2022-06-21 15:14:26.129438,1930,Writing,Wonder of Women,Bess Meredyth
495b4d5f-acc1-45bf-aa93-144ed7d3aa3a,2022-06-21 15:14:26.129965,1930,Writing,A Woman of Affairs,Bess Meredyth
c66d026e-4527-47d6-bea4-3b2ae48314fa,2022-06-21 15:14:27.337703,1931,Actor,George Arliss,The Green Goddess
48625472-700c-4e66-961b-04b18713eab2,2022-06-21 15:14:27.338567,1931,Actor,Wallace Beery,The Big House
96c20cd8-8459-4a61-ac5c-7fa23baedc2b,2022-06-21 15:14:27.339186,1931,Actor,Maurice Chevalier,The Love Parade
48a08e6c-8de8-4389-a5f1-baa4163dac10,2022-06-21 15:14:27.339761,1931,Actor,Ronald Colman,Condemned
8aad4d4f-2aff-4236-a4f7-be695d1ba733,2022-06-21 15:14:27.340376,1931,Actor,Lawrence Tibbett,The Rogue Song
da87d583-981c-4b30-9515-501f868f1e01,2022-06-21 15:14:27.341964,1931,Actress,Norma Shearer,Their Own Desire
c1782fa2-0902-4375-a0a4-01cf70b1d2f7,2022-06-21 15:14:27.342809,1931,Actress,Nancy Carroll,The Devil's Holiday
66d6157c-abee-415a-b490-6184553ea61b,2022-06-21 15:14:27.343519,1931,Actress,Ruth Chatterton,Sarah and Son
3459eabf-9f22-4c88-b76a-f08d5107bec2,2022-06-21 15:14:27.344278,1931,Actress,Greta Garbo,Romance
e5aefea9-ac9c-42f0-aa9d-c3ecb1f36c8e,2022-06-21 15:14:27.345024,1931,Actress,Gloria Swanson,The Trespasser
c000ad50-dfbc-4651-b908-7422fd9148a1,2022-06-21 15:14:27.347659,1931,Art Direction,King of Jazz,Herman Rosse
e272c8a0-aebd-4d8e-8e9c-902d559ba097,2022-06-21 15:14:27.348261,1931,Art Direction,Bulldog Drummond,(William Cameron Menzies)
9f6ad2de-b90b-4bfb-98cf-93ce9f2e8c35,2022-06-21 15:14:27.348869,1931,Art Direction,The Love Parade,(Hans Dreier)
bdd469fd-88eb-483c-8306-cded1e2cf9a7,2022-06-21 15:14:27.349532,1931,Art Direction,Sally,(Jack Okey)
8c23dbff-d1a2-43f1-8c22-a256b6fecf24,2022-06-21 15:14:27.350537,1931,Art Direction,The Vagabond King,(Hans Dreier)
6f5c1e95-0323-47ce-a1cc-f0c4e82a3fb1,2022-06-21 15:14:27.352558,1931,Cinematography,With Byrd at the South Pole,"Joseph T. Rucker, Willard Van Der Veer"
06ee271c-7e6e-42e4-ab5b-cfe2963e3d99,2022-06-21 15:14:27.353175,1931,Cinematography,All Quiet on the Western Front,(Arthur Edeson)
638486d8-225e-4ccb-be4b-1f19f1d1e102,2022-06-21 15:14:27.353746,1931,Cinematography,Anna Christie,(William Daniels)
fe9201d8-15c3-430a-a7ae-2e1cc8cef78e,2022-06-21 15:14:27.354273,1931,Cinematography,Hell's Angels,"(Gaetano Gaudio), (Harry Perry)"
661666eb-1f04-4ed0-aafd-1a0a13e4e8ad,2022-06-21 15:14:27.354799,1931,Cinematography,The Love Parade,(Victor Milner)
3c97c112-4db0-459a-b70a-f9847a7aaa04,2022-06-21 15:14:27.355760,1931,Directing,All Quiet on the Western Front,Lewis Milestone
bdf64fa8-2aa4-45f8-bd99-36ce6c9219d2,2022-06-21 15:14:27.356302,1931,Directing,Anna Christie,Clarence Brown
3eb23961-eaad-4ac1-8009-b1d806b9081b,2022-06-21 15:14:27.356821,1931,Directing,Romance,Clarence Brown
