year,actor,character,film,win
1950,Judy Holliday,"Emma ""Billie"" Dawn",Born Yesterday,True
1950,Spring Byington,Louisa Norton,Louisa,False
1950,Betty Hutton,Annie Oakley,Annie Get Your Gun,False
1951,June Allyson,Cynthia Potter,Too Young to Kiss,True
1952,Susan Hayward,Jane Froman,With a Song in My Heart,True
1952,Katharine Hepburn,Pat Pemberton,Pat and Mike,False
1952,Ginger Rogers,Edwina Fulton,Monkey Business,False
1953,Ethel Merman,Sally Adams,Call Me Madam,True
1954,Judy Garland,Esther Blodgett / Vicki Lester,A Star Is Born,True
1955,Jean Simmons,Sarah Brown,Guys and Dolls,True
1956,Deborah Kerr,Anna Leonowens,The King and I,True
1956,Judy Holliday,Laura Partridge,The Solid Gold Cadillac,False
1956,Machiko Kyō,Lotus Blossom,The Teahouse of the August Moon,False
1956,Marilyn Monroe,Chérie,Bus Stop,False
1956,Debbie Reynolds,Polly Parish,Bundle of Joy,False
1957,Taina Elg,Angele Ducros,Les Girls,True
1957,Kay Kendall,Sybil Wren,Bundle of Joy,False
1957,Cyd Charisse,"Nina ""Ninotchka"" Yoschenko",Silk Stockings,False
1957,Audrey Hepburn,Ariane Chavasse,Love in the Afternoon,False
1957,Jean Simmons,Anne Leeds,This Could Be the Night,False
1958,Rosalind Russell,Mame Dennis,Auntie Mame,True
1958,Ingrid Bergman,Anna Kalman,Indiscreet,False
1958,Leslie Caron,Gigi,Gigi,False
1958,Doris Day,Isolde Poole,The Tunnel of Love,False
1958,Mitzi Gaynor,Nellie Forbush,South Pacific,False
1959,Marilyn Monroe,"Sugar ""Kane"" Kowalczyk",Some Like It Hot,True
1959,Dorothy Dandridge,Bess,Porgy and Bess,False
1959,Doris Day,Jan Morrow,Pillow Talk,False
1959,Shirley MacLaine,Meg Wheeler,Ask Any Girl,False
1959,Lilli Palmer,Kathryn Ward,But Not for Me,False
1960,Shirley MacLaine,Fran Kubelik,The Apartment,True
1960,Lucille Ball,Kitty Weaver,The Facts of Life,False
Capucine,Princess,Carolyne zu Sayn-Wittgenstein,Song Without End,True
Capucine,Judy Holliday,Ella Peterson,Bells Are Ringing,False
Capucine,Sophia Loren,Lucia Curcio,It Started in Naples,False
1961,Rosalind Russell,Bertha Jacoby,A Majority of One,True
1961,Bette Davis,Apple Annie,Pocketful of Miracles,False
1961,Audrey Hepburn,Holly Golightly,Breakfast at Tiffany's,False
1961,Hayley Mills,Susan Evers / Sharon McKendrick,The Parent Trap,False
1961,Miyoshi Umeki,Mei Li,Flower Drum Song,False
1962,Rosalind Russell,Rose Hovick,Gypsy,True
1962,Doris Day,Kitty Wonder,Billy Rose's Jumbo,False
1962,Jane Fonda,Isabel Haverstick,Period of Adjustment,False
1962,Shirley Jones,Marian Paroo,The Music Man,False
1962,Natalie Wood,Louise Hovick / Gypsy Rose Lee,Gypsy,False
1963,Shirley MacLaine,Irma la Douce,Irma la Douce,True
1963,Ann-Margret,Kim MacAffee,Bye Bye Birdie,False
1963,Doris Day,Ellen Wagstaff Arden,"Move Over, Darling",False
1963,Audrey Hepburn,"Regina ""Reggie"" Lampert",Charade,False
1963,Hayley Mills,Nancy Carey,Summer Magic,False
1963,Molly Picon,Sophie Baker,Come Blow Your Horn,False
1963,Jill St. John,Peggy John,Come Blow Your Horn,False
1963,Joanne Woodward,Sam Blake / Mimi,A New Kind of Love,False
1964,Julie Andrews,Mary Poppins,Mary Poppins,True
1964,Audrey Hepburn,Eliza Doolittle,My Fair Lady,False
