year,actor,character,film,win
1943,Akim Tamiroff,Pablo,For Whom the Bell Tolls,True
1944,Barry Fitzgerald,Father Fitzgibbon,Going My Way,True
1945,J. Carrol Naish,Charley Martin,A Medal for Benny,True
1946,Clifton Webb,Elliott Templeton,The Razor's Edge,True
1947,Edmund Gwenn,Kris Kringle,Miracle on 34th Street,True
1948,Walter Huston,Howard,The Treasure of the Sierra Madre,True
1949,James Whitmore,Kinnie,Battleground,True
1950,Edmund Gwenn,Skipper' Miller,Mister 880,True
1950,George Sanders,Addison DeWitt,All About Eve,False
1950,Erich von Stroheim,Max Von Mayerling,Sunset Boulevard,False
1951,Peter Ustinov,Nero,Quo Vadis,True
1952,Millard Mitchell,James Connie,My Six Convicts,True
1952,Kurt Kasznar,Uncle Louis Bonnard,The Happy Time,False
1952,Gilbert Roland,Victor 'Gaucho' Ribera,The Bad and the Beautiful,False
1953,Frank Sinatra,Pvt. Angelo Maggio,From Here to Eternity,True
1954,Edmond O'Brien,Oscar Muldoon,The Barefoot Contessa,True
1955,Arthur Kennedy,Barney,Trial,True
1956,Earl Holliman,Jim Curry,The Rainmaker,True
1956,Eddie Albert,Capt. McLean,The Teahouse of the August Moon,False
1956,Oscar Homolka,General Kutuzov,War and Peace,False
1956,Anthony Quinn,Paul Gauguin,Lust for Life,False
1956,Eli Wallach,Silva Vacarro,Baby Doll,False
1957,Red Buttons,Joe Kelly,Sayonara,True
1957,Lee J. Cobb,Juror #3,12 Angry Men,False
1957,Sessue Hayakawa,Colonel Saito,The Bridge on the River Kwai,False
1957,Nigel Patrick,Prof. Jerusalem Webster Stiles,Raintree County,False
1957,Ed Wynn,Paul Beaseley,The Great Man,False
1958,Burl Ives,Rufus Hannassey,The Big Country,True
1958,Harry Guardino,Angelo Donatello,Houseboat,False
1958,David Ladd,David Chandler,The Proud Rebel,False
1958,Gig Young,Dr. Hugo Pine,Teacher's Pet,False
1958,Efrem Zimbalist Jr.,Jacob 'Jake' Diamond,Home Before Dark,False
1959,Stephen Boyd,Messala,Ben-Hur,True
1959,Fred Astaire,Julian Osborn,On the Beach,False
1959,Tony Randall,Jonathan Forbes,Pillow Talk,False
1959,Robert Vaughn,Chester A. 'Chet' Gwynn,The Young Philadelphians,False
1959,Joseph N. Welch,Judge Weaver,Anatomy of a Murder,False
1960,Sal Mineo,Dov Landau,Exodus,True
1960,Lee Kinsolving,Sammy Goldenbaum,The Dark at the Top of the Stairs,False
1960,Ray Stricklyn,Jeb Lucas Tyler,The Plunderers,False
1960,Woody Strode,Draba,Spartacus,False
1960,Peter Ustinov,Lentulus Batiatus,Spartacus,False
1961,George Chakiris,Bernardo,West Side Story,True
1961,Montgomery Clift,Rudolph Petersen,Judgment at Nuremberg,False
1961,Jackie Gleason,Minnesota Fats,The Hustler,False
1961,Tony Randall,Peter 'Pete' Ramsey,Lover Come Back,False
1961,George C. Scott,Bert Gordon,The Hustler,False
1962,Omar Sharif,Sherif Ali,Lawrence of Arabia,True
1962,Ed Begley,Tom Boss Finley,Sweet Bird of Youth,False
1962,Victor Buono,Edwin Flagg,What Ever Happened to Baby Jane?,False
1962,Harry Guardino,Sgt. Joseph Contini,The Pigeon That Took Rome,False
1962,Ross Martin,Garland Humphrey 'Red' Lynch,Experiment in Terror,False
1962,Paul Newman,The Battler,Hemingway's Adventures of a Young Man,False
1962,Cesar Romero,Robert Swan / Adam Wright,If a Man Answers,False
1962,Telly Savalas,Feto Gomez,Birdman of Alcatraz,False
1962,Peter Sellers,Clare Quilty,Lolita,False
1962,Harold J. Stone,Frank Garnell,The Chapman Report,False
1963,John Huston,Cardinal Glennon,The Cardinal,True
1963,Lee J. Cobb,Harry R. Baker,Come Blow Your Horn,False
1963,Bobby Darin,Cpl. Jim Tompkins,"Captain Newman, M.D.",False
1963,Melvyn Douglas,Homer Bannon,Hud,False
1963,Hugh Griffith,Squire Western,Tom Jones,False
1963,Paul Mann,Aleko Sinnikoglou,America America,False
1963,Roddy McDowall,"Octavian, alias Augustus",Cleopatra,False
1963,Gregory Rozakis,Hohannes Gardashian,America America,False
1964,Edmond O'Brien,Senator Ray Clark,Seven Days in May,True
1964,Cyril Delevanti,Nonno,The Night of the Iguana,False
1964,Stanley Holloway,Alfred P. Doolittle,My Fair Lady,False
1964,Gilbert Roland,Dull Knife,Cheyenne Autumn,False
1964,Lee Tracy,Art Hockstader,The Best Man,False
1965,Oskar Werner,Fiedler,The Spy Who Came in from the Cold,True
1965,Red Buttons,Arthur Landau,Harlow,False
1965,Frank Finlay,Iago,Othello,False
1965,Hardy Krüger,Heinrich Dorfmann,The Flight of the Phoenix,False
1965,Telly Savalas,Sgt. Guffy,Battle of the Bulge,False
1966,Richard Attenborough,Frenchy Burgoyne,The Sand Pebbles,True
1966,Mako,Po-han,The Sand Pebbles,False
1966,John Saxon,Chuy Medina,The Appaloosa,False
1966,George Segal,Nick,Who's Afraid of Virginia Woolf?,False
1966,Robert Shaw,Henry VIII,A Man for All Seasons,False
1967,Richard Attenborough,Albert Blossom,Doctor Dolittle,True
1967,John Cassavetes,Victor R. Franko,The Dirty Dozen,False
1967,George Kennedy,Dragline,Cool Hand Luke,False
1967,Michael J. Pollard,C.W. Moss,Bonnie and Clyde,False
1967,Efrem Zimbalist Jr.,Sam Hendrix,Wait Until Dark,False
1968,Daniel Massey,Noël Coward,Star!,True
1968,Beau Bridges,Tim Austin,For Love of Ivy,False
1968,Ossie Davis,Joseph Lee,The Scalphunters,False
1968,Hugh Griffith,Lebedev,The Fixer,False
