year,actor,character,film,win
1943,Katina Paxinou,Pilar,For Whom the Bell Tolls,True
1944,Agnes Moorehead,Baroness Aspasia Conti,Mrs. Parkington,True
1945,Angela Lansbury,Sibyl Vane,The Picture of Dorian Gray,True
1946,Anne Baxter,Sophie MacDonald,The Razor's Edge,True
1947,Celeste Holm,Anne Dettrey,Gentleman's Agreement,True
1948,Ellen Corby,Aunt Trina,I Remember Mama,True
1949,Mercedes McCambridge,Sadie Burke,All the King's Men,True
1950,Josephine Hull,Veta Louise Simmons,Harvey,True
1950,Judy Holliday,Doris Attinger,Adam's Rib,False
1950,Thelma Ritter,Birdie Kumen,All About Eve,False
1951,Kim Hunter,Stella Kowalski,A Streetcar Named Desire,True
1951,Lee Grant,Shoplifter,Detective Story,False
1951,Thelma Ritter,Ellen McNulty,The Mating Season,False
1952,Katy Jurado,Helen Ramirez,High Noon,True
1952,Mildred Dunnock,Señora Espejo,Viva Zapata!,False
1952,Gloria Grahame,Rosemary Bartlow,The Bad and the Beautiful,False
1953,Grace Kelly,Linda Nordley,Mogambo,True
1954,Jan Sterling,Sally McKee,The High and the Mighty,True
1955,Marisa Pavan,Rosa Delle Rose,The Rose Tattoo,True
1956,Eileen Heckart,Hortense Daigle,The Bad Seed,True
1956,Mildred Dunnock,Aunt Rose Comfort,Baby Doll,False
1956,Marjorie Main,The Widow Hudspeth,Friendly Persuasion,False
1956,Dorothy Malone,Marylee Hadley,Written on the Wind,False
1956,Patty McCormack,Rhoda Penmark,The Bad Seed,False
1957,Elsa Lanchester,Miss Plimsoll,Witness for the Prosecution,True
1957,Mildred Dunnock,Miss Elsie Thornton,Peyton Place,False
1957,Hope Lange,Selena Cross,Peyton Place,False
1957,Heather Sears,Esther Costello,The Story of Esther Costello,False
1957,Miyoshi Umeki,Katsumi Kelly,Sayonara,False
1958,Hermione Gingold,Madame Alvarez,Gigi,True
1958,Peggy Cass,Agnes Gooch,Auntie Mame,False
1958,Wendy Hiller,Pat Cooper,Separate Tables,False
1958,Maureen Stapleton,Fay Doyle,Lonelyhearts,False
1958,Cara Williams,Billy's Mother,The Defiant Ones,False
