year,actor,character,film,win
1943,Paul Lukas,Kurt Muller,Watch on the Rhine,True
1944,Alexander Knox,Woodrow Wilson,Wilson,True
1945,Ray Milland,Don Birnam,The Lost Weekend,True
1946,Gregory Peck,Penny Baxter,The Yearling,True
1947,Ronald Colman,Anthony John,A Double Life,True
1948,Laurence Olivier,"Hamlet, Prince of Denmark",Hamlet,True
1949,Broderick Crawford,Willie Stark,All the King's Men,True
1949,Richard Todd,"Cpl. Lachlan ""Lachie"" MacLachlan",The Hasty Heart,False
1950,José Ferrer,Cyrano de Bergerac,Cyrano de Bergerac,True
1950,Louis Calhern,Oliver Wendell Holmes,The Magnificent Yankee,False
1950,James Stewart,Elwood P. Dowd,Harvey,False
1951,Fredric March,Willy Loman,Death of a Salesman,True
1951,Kirk Douglas,Det. James McLeod,Detective Story,False
1951,Arthur Kennedy,Larry Nevins,Bright Victory,False
1952,Gary Cooper,Marshal Will Kane,High Noon,True
1952,Ray Milland,Allan Fields,The Thief,False
1952,Charles Boyer,Jacques Bonnard,The Happy Time,False
1953,Spencer Tracy,Clinton Jones,The Actress,True
1954,Marlon Brando,Terry Malloy,On the Waterfront,True
1955,Ernest Borgnine,Marty Piletti,Marty,True
1956,Kirk Douglas,Vincent van Gogh,Lust for Life,True
1956,Karl Malden,Archie Lee Meighan,Baby Doll,False
1956,Gary Cooper,Jess Birdwell,Friendly Persuasion,False
1956,Burt Lancaster,Bill Starbuck,The Rainmaker,False
1956,Charlton Heston,Moses,The Ten Commandments,False
1957,Alec Guinness,Colonel Nicholson,The Bridge on the River Kwai,True
1957,Marlon Brando,"Maj. Lloyd ""Ace"" Gruver",Sayonara,False
1958,David Niven,Major Pollock,Separate Tables,True
1958,Tony Curtis,"John ""Joker"" Jackson",The Defiant Ones,False
1958,Robert Donat,The Mandarin of Yang Cheng,The Inn of the Sixth Happiness,False
1958,Sidney Poitier,Noah Cullen,The Defiant Ones,False
1958,Spencer Tracy,Santiago (The Old Man),The Old Man and the Sea,False
1959,Anthony Franciosa,Sam Lawson,Career,True
1959,Richard Burton,Jimmy Porter,Look Back in Anger,False
1959,Charlton Heston,Judah Ben-Hur,Ben-Hur,False
1959,Fredric March,Jerry Kingsley,Middle of the Night,False
1959,Joseph Schildkraut,Otto Frank,The Diary of Anne Frank,False
1960,Burt Lancaster,Elmer Gantry,Elmer Gantry,True
1960,Trevor Howard,Walter Morel,Sons and Lovers,False
1960,Laurence Olivier,Crassus,Spartacus,False
1960,Dean Stockwell,Paul Morel,Sons and Lovers,False
1960,Spencer Tracy,Henry Drummond,Inherit the Wind,False
1961,Maximilian Schell,Hans Rolfe,Judgment at Nuremberg,True
1961,Warren Beatty,Bud Stamper,Splendor in the Grass,False
1961,Maurice Chevalier,Pannisse,Fanny,False
1961,Paul Newman,Fast Eddie Felson,The Hustler,False
1961,Sidney Poitier,Walter Lee Younger,A Raisin in the Sun,False
1962,Gregory Peck,Atticus Finch,To Kill a Mockingbird,True
Laurence Harvey,Wilhelm Grimm,/The Cobbler,The Wonderful World of the Brothers Grimm,True
Laurence Harvey,Burt Lancaster,Robert Franklin Stroud,Birdman of Alcatraz,False
Laurence Harvey,Jack Lemmon,Joe Clay,Days of Wine and Roses,False
Laurence Harvey,James Mason,Humbert Humbert,Lolita,False
Laurence Harvey,Paul Newman,Chance Wayne,Sweet Bird of Youth,False
Laurence Harvey,Peter O'Toole,T. E. Lawrence,Lawrence of Arabia,False
Laurence Harvey,Anthony Quinn,Auda ibu Tayi,Lawrence of Arabia,False
1963,Sidney Poitier,Homer Smith,Lilies of the Field,True
1963,Marlon Brando,Harrison Carter MacWhite,The Ugly American,False
1963,Stathis Giallelis,Stavros Topouzoglou,America America,False
1963,Rex Harrison,Julius Caesar,Cleopatra,False
1963,Steve McQueen,Rocky Papasano,Love with the Proper Stranger,False
1963,Paul Newman,Hud Bannon,Hud,False
1963,Gregory Peck,Captain Josiah Newman,"Captain Newman, M.D.",False
1963,Tom Tryon,Stephen Fermoyle,The Cardinal,False
1964,Peter O'Toole,King Henry II,Becket,True
1964,Richard Burton,Thomas Becket,Becket,False
1964,Anthony Franciosa,Juan Luis Rodriguez,Rio Conchos,False
1964,Fredric March,President Lyman,Seven Days in May,False
1964,Anthony Quinn,Alexis Zorba,Zorba the Greek,False
1965,Omar Sharif,Yuri Zhivago,Doctor Zhivago,True
1965,Rex Harrison,Pope Julius II,The Agony and the Ecstasy,False
1965,Sidney Poitier,Gordon Ralfe,A Patch of Blue,False
1965,Rod Steiger,Sol Nazerman,The Pawnbroker,False
1965,Oskar Werner,Willie Schumann,Ship of Fools,False
1966,Paul Scofield,Sir Thomas More,A Man for All Seasons,True
1966,Richard Burton,George,Who's Afraid of Virginia Woolf?,False
1966,Michael Caine,Alfie,Alfie,False
1966,Steve McQueen,Machinist's Mate 1st Class Jake Holman,The Sand Pebbles,False
1966,Max von Sydow,Reverend Abner Hale,Hawaii,False
1967,Rod Steiger,Police Chief Bill Gillespie,In the Heat of the Night,True
1967,Alan Bates,Gabriel Oak,Far from the Madding Crowd,False
1967,Warren Beatty,Clyde Barrow,Bonnie and Clyde,False
1967,Paul Newman,"Lucas ""Luke"" Jackson",Cool Hand Luke,False
Sidney Poitier,Detective,Virgil Tibbs,In the Heat of the Night,True
Sidney Poitier,Spencer Tracy,Matt Drayton,Guess Who's Coming to Dinner,False
1968,Peter O'Toole,King Henry II,The Lion in Winter,True
1968,Alan Arkin,John Singer,The Heart Is a Lonely Hunter,False
1968,Alan Bates,Yakov Bok,The Fixer,False
1968,Tony Curtis,Albert DeSalvo,The Boston Strangler,False
1968,Cliff Robertson,Charlie Gordon,Charly,False
1969,John Wayne,Rooster Cogburn,True Grit,True
1969,Alan Arkin,"Abraham ""Popi"" Rodriguez",Popi,False
1969,Richard Burton,King Henry VIII,Anne of the Thousand Days,False
1969,Dustin Hoffman,"Enrico ""Ratso"" Rizzo",Midnight Cowboy,False
1969,Jon Voight,Joe Buck,Midnight Cowboy,False
1970,George C. Scott,George S. Patton,Patton,True
1970,Melvyn Douglas,Tom Garrison,I Never Sang for My Father,False
1970,James Earl Jones,Jack Jefferson,The Great White Hope,False
1970,Jack Nicholson,Robert Eroica Dupea,Five Easy Pieces,False
1970,Ryan O'Neal,Oliver Barret IV,Love Story,False
1970,Peter Finch,Daniel Hirsh,Sunday Bloody Sunday,False
1970,Malcolm McDowell,Alex DeLarge,A Clockwork Orange,False
1970,Jack Nicholson,Jonathan Fuerst,Carnal Knowledge,False
1970,George C. Scott,Dr. Herbert Bock,The Hospital,False
1972,Marlon Brando,Vito Corleone,The Godfather,True
1972,Michael Caine,Milo Tindle,Sleuth,False
1972,Laurence Olivier,Andrew Wyke,Sleuth,False
1972,Al Pacino,Michael Corleone,The Godfather,False
1972,Jon Voight,Ed,Deliverance,False
1973,Al Pacino,Frank Serpico,Serpico,True
1973,Robert Blake,John Wintergreen,Electra Glide in Blue,False
1973,Jack Lemmon,Harry Stoner,Save the Tiger,False
1973,Steve McQueen,"Henri ""Papillon"" Charrière",Papillon,False
1973,Jack Nicholson,"Signalman 1st Class Billy L. ""Badass"" Buddusky",The Last Detail,False
1974,Jack Nicholson,"J. J. ""Jake"" Gittes",Chinatown,True
1974,James Caan,Axel Freed,The Gambler,False
1974,Gene Hackman,Harry Caul,The Conversation,False
1974,Dustin Hoffman,Lenny Bruce,Lenny,False
1974,Al Pacino,Michael Corleone,The Godfather Part II,False
1975,Jack Nicholson,"Randle Patrick ""Mac"" McMurphy",One Flew Over the Cuckoo's Nest,True
Gene Hackman,Detective,"Jimmy ""Popeye"" Doyle",French Connection II,True
Gene Hackman,Al Pacino,Sonny Wortzik,Dog Day Afternoon,False
Gene Hackman,Maximilian Schell,Arthur Goldman,The Man in the Glass Booth,False
Gene Hackman,James Whitmore,Harry S. Truman,"Give 'em Hell, Harry!",False
Gene Hackman,David Carradine,Woody Guthrie,Bound for Glory,False
Gene Hackman,Robert De Niro,Travis Bickle,Taxi Driver,False
Gene Hackman,Dustin Hoffman,"""Babe"" Levy",Marathon Man,False
Gene Hackman,Sylvester Stallone,Rocky Balboa,Rocky,False
1977,Richard Burton,Dr. Martin Dysart,Equus,True
1977,Marcello Mastroianni,Gabriele,A Special Day,False
1977,Al Pacino,Bobby Deerfield,Bobby Deerfield,False
1977,Gregory Peck,Douglas MacArthur,MacArthur,False
1977,Henry Winkler,Jack Dunne,Heroes,False
1978,Jon Voight,Luke Martin,Coming Home,True
1978,Brad Davis,Billy Hayes,Midnight Express,False
1978,Robert De Niro,Michael Vronsky,The Deer Hunter,False
1978,Anthony Hopkins,"Corky Withers / ""Fats""",Magic,False
1978,Gregory Peck,Dr. Josef Mengele,The Boys from Brazil,False
1979,Dustin Hoffman,Ted Kramer,Kramer vs. Kramer,True
1979,Jack Lemmon,Jack Godell,The China Syndrome,False
1979,Al Pacino,Arthur Kirkland,...And Justice for All,False
1979,Jon Voight,Billy Flynn,The Champ,False
1979,James Woods,Gregory Powell,The Onion Field,False
1980,Robert De Niro,Jake LaMotta,Raging Bull,True
