year,nominees,film,win
1979,Hal Ashby,Hal Ashby,False
1979,Peter Yates,Peter Yates,False
1979,James Bridges,James Bridges,False
1979,Robert Benton,Robert Benton,False
1980,Robert Redford,Ordinary People,True
1980,David Lynch,David Lynch,False
1980,Martin Scorsese,Martin Scorsese,False
1980,Richard Rush,Richard Rush,False
1980,Roman Polanski,Roman Polanski,False
1981,Warren Beatty,Reds,True
1981,Louis Malle,Louis Malle,False
1981,Mark Rydell,Mark Rydell,False
1981,Sidney Lumet,Sidney Lumet,False
1981,Miloš Forman,Miloš Forman,False
1981,Steven Spielberg,Steven Spielberg,False
1982,Richard Attenborough,Gandhi,True
1982,Steven Spielberg,Steven Spielberg,False
1982,Constantin Costa-Gavras,Constantin Costa-Gavras,False
1982,Sydney Pollack,Sydney Pollack,False
1982,Sidney Lumet,Sidney Lumet,False
1983,Barbra Streisand,Yentl,True
1983,Peter Yates,Peter Yates,False
1983,Ingmar Bergman,Ingmar Bergman,False
1983,Mike Nichols,Mike Nichols,False
1983,Bruce Beresford,Bruce Beresford,False
1983,James L. Brooks,James L. Brooks,False
1984,Miloš Forman,Amadeus,True
1984,Francis Ford Coppola,Francis Ford Coppola,False
1984,Roland Joffé,Roland Joffé,False
1984,Sergio Leone,Sergio Leone,False
1984,David Lean,David Lean,False
1985,John Huston,Prizzi's Honor,True
1985,Richard Attenborough,Richard Attenborough,False
1985,Steven Spielberg,Steven Spielberg,False
1985,Sydney Pollack,Sydney Pollack,False
1985,Peter Weir,Peter Weir,False
1986,Oliver Stone,Platoon,True
1986,Woody Allen,Woody Allen,False
1986,Roland Joffé,Roland Joffé,False
1986,James Ivory,James Ivory,False
1986,Rob Reiner,Rob Reiner,False
1987,Bernardo Bertolucci,The Last Emperor,True
1987,James L. Brooks,James L. Brooks,False
1987,Richard Attenborough,Richard Attenborough,False
1987,Adrian Lyne,Adrian Lyne,False
1987,John Boorman,John Boorman,False
1988,Clint Eastwood,Bird,True
1988,Fred Schepisi,Fred Schepisi,False
1988,Alan Parker,Alan Parker,False
1988,Barry Levinson,Barry Levinson,False
1988,Sidney Lumet,Sidney Lumet,False
1988,Mike Nichols,Mike Nichols,False
1989,Oliver Stone,Born on the Fourth of July,True
1989,Peter Weir,Peter Weir,False
1989,Spike Lee,Spike Lee,False
1989,Edward Zwick,Edward Zwick,False
1989,Rob Reiner,Rob Reiner,False
1990,Kevin Costner,Dances with Wolves,True
1990,Francis Ford Coppola,Francis Ford Coppola,False
1990,Martin Scorsese,Martin Scorsese,False
1990,Barbet Schroeder,Barbet Schroeder,False
1990,Bernardo Bertolucci,Bernardo Bertolucci,False
1991,Oliver Stone,JFK,True
1991,Barry Levinson,Barry Levinson,False
1991,Terry Gilliam,Terry Gilliam,False
1991,Barbra Streisand,Barbra Streisand,False
1991,Jonathan Demme,Jonathan Demme,False
1992,Clint Eastwood,Unforgiven,True
1992,Rob Reiner,Rob Reiner,False
1992,James Ivory,James Ivory,False
1992,Robert Altman,Robert Altman,False
1992,Robert Redford,Robert Redford,False
1993,Steven Spielberg,Schindler's List,True
1993,Martin Scorsese,Martin Scorsese,False
1993,Andrew Davis,Andrew Davis,False
1993,Jane Campion,Jane Campion,False
1993,James Ivory,James Ivory,False
1994,Robert Zemeckis,Forrest Gump,True
1994,Edward Zwick,Edward Zwick,False
1994,Oliver Stone,Oliver Stone,False
1994,Quentin Tarantino,Quentin Tarantino,False
1994,Robert Redford,Robert Redford,False
1995,Mel Gibson,Braveheart,True
1995,Rob Reiner,Rob Reiner,False
1995,Ron Howard,Ron Howard,False
1995,Martin Scorsese,Martin Scorsese,False
1995,Mike Figgis,Mike Figgis,False
1995,Ang Lee,Ang Lee,False
1996,Miloš Forman,The People vs. Larry Flynt,True
1996,Anthony Minghella,Anthony Minghella,False
1996,Alan Parker,Alan Parker,False
1996,Joel Coen,Joel Coen,False
1996,Scott Hicks,Scott Hicks,False
1997,James Cameron,Titanic,True
1997,Steven Spielberg,Steven Spielberg,False
1997,James L. Brooks,James L. Brooks,False
1997,Jim Sheridan,Jim Sheridan,False
1997,Curtis Hanson,Curtis Hanson,False
1998,Steven Spielberg,Saving Private Ryan,True
1998,Shekhar Kapur,Shekhar Kapur,False
1998,Robert Redford,Robert Redford,False
1998,John Madden,John Madden,False
1998,Peter Weir,Peter Weir,False
1999,Sam Mendes,American Beauty,True
1999,Neil Jordan,Neil Jordan,False
1999,Norman Jewison,Norman Jewison,False
1999,Michael Mann,Michael Mann,False
1999,Anthony Minghella,Anthony Minghella,False
2000,Ang Lee,"Crouching Tiger, Hidden Dragon",True
2000,Steven Soderbergh,Steven Soderbergh,False
2000,Ridley Scott,Ridley Scott,False
2000,István Szabó,István Szabó,False
2000,Steven Soderbergh,Steven Soderbergh,False
2001,Robert Altman,Gosford Park,True
2001,Steven Spielberg,Steven Spielberg,False
2001,Ron Howard,Ron Howard,False
2001,Peter Jackson,Peter Jackson,False
2001,Baz Luhrmann,Baz Luhrmann,False
2001,David Lynch,David Lynch,False
2002,Martin Scorsese,Gangs of New York,True
2002,Alexander Payne,Alexander Payne,False
2002,Spike Jonze,Spike Jonze,False
2002,Rob Marshall,Rob Marshall,False
2002,Stephen Daldry,Stephen Daldry,False
2002,Peter Jackson,Peter Jackson,False
2003,Peter Jackson,The Lord of the Rings: The Return of the King,True
2003,Anthony Minghella,Anthony Minghella,False
2003,Sofia Coppola,Sofia Coppola,False
2003,Peter Weir,Peter Weir,False
2003,Clint Eastwood,Clint Eastwood,False
2004,Clint Eastwood,Million Dollar Baby,True
2004,Martin Scorsese,Martin Scorsese,False
2004,Mike Nichols,Mike Nichols,False
2004,Marc Forster,Marc Forster,False
2004,Alexander Payne,Alexander Payne,False
2005,Ang Lee,Brokeback Mountain,True
2005,Fernando Meirelles,Fernando Meirelles,False
2005,George Clooney,George Clooney,False
2005,Peter Jackson,Peter Jackson,False
2005,Woody Allen,Woody Allen,False
2005,Steven Spielberg,Steven Spielberg,False
2006,Martin Scorsese,The Departed,True
2006,Alejandro González Iñárritu,Alejandro González Iñárritu,False
2006,Clint Eastwood,Clint Eastwood,False
2006,Letters from Iwo Jima,Letters from Iwo Jima,False
2006,Stephen Frears,Stephen Frears,False
2007,Julian Schnabel,The Diving Bell and the Butterfly,True
2007,Ridley Scott,Ridley Scott,False
2007,Joe Wright,Joe Wright,False
2007,Joel Coen and Ethan Coen,Joel Coen and Ethan Coen,False
2007,Tim Burton,Tim Burton,False
2008,Danny Boyle,Slumdog Millionaire,True
2008,David Fincher,David Fincher,False
2008,Ron Howard,Ron Howard,False
2008,Stephen Daldry,Stephen Daldry,False
2008,Sam Mendes,Sam Mendes,False
2009,James Cameron,Avatar,True
2009,Kathryn Bigelow,Kathryn Bigelow,False
2009,Quentin Tarantino,Quentin Tarantino,False
2009,Clint Eastwood,Clint Eastwood,False
2009,Jason Reitman,Jason Reitman,False
2010,David Fincher,The Social Network,True
2010,Darren Aronofsky,Darren Aronofsky,False
2010,David O. Russell,David O. Russell,False
2010,Christopher Nolan,Christopher Nolan,False
2010,Tom Hooper,Tom Hooper,False
2011,Martin Scorsese,Hugo,True
2011,Michel Hazanavicius,Michel Hazanavicius,False
2011,Alexander Payne,Alexander Payne,False
2011,George Clooney,George Clooney,False
2011,Woody Allen,Woody Allen,False
2012,Ben Affleck,Argo,True
2012,Quentin Tarantino,Quentin Tarantino,False
2012,Ang Lee,Ang Lee,False
2012,Steven Spielberg,Steven Spielberg,False
2012,Kathryn Bigelow,Kathryn Bigelow,False
2013,Alfonso Cuarón,Gravity,True
2013,Steve McQueen,Steve McQueen,False
2013,David O. Russell,David O. Russell,False
2013,Paul Greengrass,Paul Greengrass,False
2013,Alexander Payne,Alexander Payne,False
2014,Richard Linklater,Boyhood,True
