year,actor,character,film,win
1943,Jennifer Jones,Bernadette Soubirous,The Song of Bernadette,True
1944,Ingrid Bergman,Paula Alquist Anton,Gaslight,True
1945,Ingrid Bergman,Sister Mary Benedict,The Bells of St. Mary's,True
1946,Rosalind Russell,Sister Elizabeth Kenny,Sister Kenny,True
1947,Rosalind Russell,Lavinia Mannon,Mourning Becomes Electra,True
1948,Jane Wyman,Belinda MacDonald,Johnny Belinda,True
1949,Olivia de Havilland,Catherine Sloper,The Heiress,True
1949,Deborah Kerr,Evelyn Boult,"Edward, My Son",False
1950,Gloria Swanson,Norma Desmond,Sunset Boulevard,True
1950,Bette Davis,Margo Channing,All About Eve,False
1950,Judy Holliday,Billie Dawn,Born Yesterday,False
1951,Jane Wyman,LouLou Mason,The Blue Veil,True
1951,Vivien Leigh,Blanche DuBois,A Streetcar Named Desire,False
1951,Shelley Winters,Alice Tripp,A Place in the Sun,False
1952,Shirley Booth,Lola Delaney,"Come Back, Little Sheba",True
1952,Joan Crawford,Myra Hudson,Sudden Fear,False
1952,Olivia de Havilland,Rachel Sangalletti Ashley,My Cousin Rachel,False
1953,Audrey Hepburn,"Princess Ann (""Anya Smith"")",Roman Holiday,True
1954,Grace Kelly,Georgie Elgin,The Country Girl,True
1955,Anna Magnani,Serafina Delle Rose,The Rose Tattoo,True
1956,Ingrid Bergman,"Anna Koreff (""Anastasia"")",Anastasia,True
1956,Carroll Baker,Baby Doll Meighan,Baby Doll,False
1956,Helen Hayes,Dowager Empress Marie Feodorovona,Anastasia,False
1956,Audrey Hepburn,Natasha Rostova,War and Peace,False
1956,Katharine Hepburn,Lizzie Curry,The Rainmaker,False
1957,Joanne Woodward,Eve White / Eve Black / Jane,The Three Faces of Eve,True
1957,Marlene Dietrich,Christine Vole / Helm,Witness for the Prosecution,False
1957,Deborah Kerr,Sister Angela,"Heaven Knows, Mr. Allison",False
1957,Anna Magnani,Gioia,Wild Is the Wind,False
1957,Eva Marie Saint,Celia Pope,A Hatful of Rain,False
1958,Susan Hayward,Barbara Graham,I Want to Live!,True
1958,Ingrid Bergman,Gladys Aylward,The Inn of the Sixth Happiness,False
1958,Deborah Kerr,Sibyl Railton-Bell,Separate Tables,False
1958,Shirley MacLaine,Ginny Moorehead,Some Came Running,False
1958,Jean Simmons,Charlotte Bronn,Home Before Dark,False
1959,Elizabeth Taylor,Catherine Holly,"Suddenly, Last Summer",True
1959,Audrey Hepburn,Sister Luke,The Nun's Story,False
1959,Katharine Hepburn,Violet Venable,"Suddenly, Last Summer",False
1959,Lee Remick,Laura Manion,Anatomy of a Murder,False
1959,Simone Signoret,Alice Aisgill,Room at the Top,False
1960,Greer Garson,Eleanor Roosevelt,Sunrise at Campobello,True
1960,Doris Day,Kit Preston,Midnight Lace,False
1960,Nancy Kwan,Suzie Wong,The World of Suzie Wong,False
1960,Jean Simmons,Sharon Falconer,Elmer Gantry,False
1960,Elizabeth Taylor,Gloria Wandrous,BUtterfield 8,False
1961,Geraldine Page,Alma Winemiller,Summer and Smoke,True
1961,Leslie Caron,Fanny,Fanny,False
1961,Shirley MacLaine,Martha Dobie,The Children's Hour,False
1961,Claudia McNeil,Lena Younger,A Raisin in the Sun,False
1961,Natalie Wood,Deanie Loomis,Splendor in the Grass,False
