year,actor,character,film,win
1973,Carl Anderson,Judas Iscariot,Jesus Christ Superstar,False
1973,Richard Dreyfuss,Curt Henderson,American Graffiti,False
1973,Ted Neeley,Jesus Christ,Jesus Christ Superstar,False
1973,Ryan O'Neal,Moses Pray,Paper Moon,False
1974,Art Carney,Harry Coombes,Harry and Tonto,True
1974,James Earl Jones,Rupert Marshall,Claudine,False
1974,Jack Lemmon,Hildy Johnson,The Front Page,False
1974,Walter Matthau,Walter Burns,The Front Page,False
1974,Burt Reynolds,"Paul ""Wrecking"" Crewe",The Longest Yard,False
1975,George Burns,Al Lewis,The Sunshine Boys,True
1975,Walter Matthau,Willy Clark,The Longest Yard,False
1975,Warren Beatty,George Roundy,Shampoo,False
1975,James Caan,Billy Rose,Funny Lady,False
1975,Peter Sellers,Inspector Jacques Clouseau,The Return of the Pink Panther,False
1976,Kris Kristofferson,John Howard,A Star Is Born,True
1976,Mel Brooks,Mel Funn,Silent Movie,False
1976,Peter Sellers,Inspector Jacques Clouseau,The Pink Panther Strikes Again,False
1976,Jack Weston,Gaetano Proclo,The Ritz,False
1976,Gene Wilder,George Caldwell,Silver Streak,False
1977,Richard Dreyfuss,Elliott Garfield,The Goodbye Girl,True
1977,Woody Allen,Alvy Singer,Annie Hall,False
1977,Mel Brooks,Dr. Richard H. Thorndyke,High Anxiety,False
1977,Robert De Niro,Jimmy Doyle,"New York, New York",False
1977,John Travolta,Tony Manero,Saturday Night Fever,False
1978,Warren Beatty,Joe Pendleton,Heaven Can Wait,True
1978,Alan Alda,George,"Same Time, Next Year",False
1978,Gary Busey,Buddy Holly,The Buddy Holly Story,False
1978,Chevy Chase,Detective Tony Carlson,Foul Play,False
1978,George C. Scott,Gloves Malloy / Spats Baxter,Movie Movie,False
1978,John Travolta,Danny Zuko,Grease,False
1979,Peter Sellers,Chance,Being There,True
1979,George Hamilton,Count Dracula,Love at First Bite,False
1979,Dudley Moore,George Webber,10,False
1979,Burt Reynolds,Phil Potter,Starting Over,False
1979,Roy Scheider,Joe Gideon,All That Jazz,False
1980,Ray Sharkey,Vinnie Vacarri,The Idolmaker,True
1980,Neil Diamond,Yussel Rabinovitch,The Jazz Singer,False
1980,Tommy Lee Jones,Doolittle Mooney Lynn,Coal Miner's Daughter,False
1980,Paul Le Mat,Melvin Dummar,Melvin and Howard,False
1980,Walter Matthau,Miles Kendig,Hopscotch,False
1981,Dudley Moore,Arthur Bach,Arthur,True
1981,Alan Alda,Jack Burroughs,The Four Seasons,False
1981,George Hamilton,Don Diego Vega / Zorro / Wigglesworth / Ramon Vega,"Zorro, The Gay Blade",False
1981,Steve Martin,Arthur Parker,Pennies from Heaven,False
1981,Walter Matthau,Dan Snow,First Monday in October,False
1982,Dustin Hoffman,Michael Dorsey / Dorothy Michaels,Tootsie,True
1982,Peter O'Toole,Alan Swann,My Favorite Year,False
1982,Al Pacino,Ivan Travalian,Author! Author!,False
1982,Robert Preston,"Caroll ""Toddy"" Todd",Victor Victoria,False
1982,Henry Winkler,Chuck,Night Shift,False
1983,Michael Caine,Frank Bryant,Educating Rita,True
1983,Woody Allen,Leonard Zelig,Zelig,False
1983,Tom Cruise,Joel Goodson,Risky Business,False
1983,Eddie Murphy,Billy Ray Valentine,Trading Places,False
1983,Mandy Patinkin,Avigdor,Yentl,False
1984,Dudley Moore,Rob Salinger,Micki & Maude,True
1984,Steve Martin,Roger Cobb,All of Me,False
1984,Eddie Murphy,Axel Foley,Beverly Hills Cop,False
1984,Bill Murray,Peter Venkman,Ghostbusters,False
1984,Robin Williams,Vladimir Ivanoff,Moscow on the Hudson,False
1985,Jack Nicholson,Charley Partanna,Prizzi's Honor,True
1985,Jeff Daniels,Tom Baxter / Gil Sheperd,The Purple Rose of Cairo,False
1985,Griffin Dunne,Paul Hackett,After Hours,False
1985,Michael J. Fox,Marty McFly,Back to the Future,False
1985,James Garner,Murphy Jones,Murphy's Romance,False
1986,Paul Hogan,"Michael J. ""Crocodile"" Dundee",Crocodile Dundee,True
1986,Matthew Broderick,Ferris Bueller,Ferris Bueller's Day Off,False
1986,Jeff Daniels,Charles Driggs,Something Wild,False
1986,Danny DeVito,Sam Stone,Ruthless People,False
1986,Jack Lemmon,Harvey Fairchild,That's Life!,False
1987,Robin Williams,Adrian Cronauer,"Good Morning, Vietnam",True
1987,Nicolas Cage,Ronny Cammareri,Moonstruck,False
1987,Danny DeVito,Owen Lift,Throw Momma from the Train,False
1987,William Hurt,Tom Grunick,Broadcast News,False
1987,Steve Martin,C. D. Bales,Roxanne,False
1987,Patrick Swayze,Johnny Castle,Dirty Dancing,False
1988,Tom Hanks,Josh Baskin,Big,True
1988,Michael Caine,Lawrence Jamieson,Dirty Rotten Scoundrels,False
1988,John Cleese,Archie Leach,A Fish Called Wanda,False
1988,Robert De Niro,Jack Walsh,Midnight Run,False
1988,Bob Hoskins,Eddie Valliant,Who Framed Roger Rabbit,False
1989,Morgan Freeman,Hoke Colburn,Driving Miss Daisy,True
1989,Billy Crystal,Harry Burns,When Harry Met Sally...,False
1989,Michael Douglas,Oliver Rose,The War of the Roses,False
1989,Steve Martin,Gil Buckman,Parenthood,False
1989,Jack Nicholson,Jack Napier / The Joker,Batman,False
1990,Gérard Depardieu,Georges Fauré,Green Card,True
1990,Macaulay Culkin,Kevin McCallister,Home Alone,False
1990,Johnny Depp,Edward Scissorhands,Edward Scissorhands,False
